bucket	status	name	dispatch	target	file	line	note
other	needs-classification	prefix-numeric-value	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	257	matched in stubs::call
other	needs-classification	previous-overlay-change	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	83	matched in stubs::call
other	needs-classification	process-contact	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	363	matched in stubs::call
other	needs-classification	read-passwd	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	728	registered through Phase-1 stub list
other	needs-classification	read-passwd	stub-module	constant-string	crates/elisp/src/primitives/core/stubs.rs	335	matched in stubs::call
other	needs-classification	remove-from-invisibility-spec	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	106	matched in stubs::call
other	needs-classification	remove-function	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	209	matched in stubs::call
other	needs-classification	ring-convert-sequence-to-ring	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	734	registered through Phase-1 stub list
other	needs-classification	ring-convert-sequence-to-ring	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	353	matched in stubs::call
other	needs-classification	scroll-up	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	714	registered through Phase-1 stub list
other	needs-classification	scroll-up	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	285	matched in stubs::call
other	needs-classification	secure-hash-algorithms	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	720	registered through Phase-1 stub list
other	needs-classification	secure-hash-algorithms	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	313	matched in stubs::call
other	needs-classification	self-insert-command	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	713	registered through Phase-1 stub list
other	needs-classification	self-insert-command	stub-module	argument-derived	crates/elisp/src/primitives/core/stubs.rs	278	matched in stubs::call
other	needs-classification	set-auto-mode--find-matching-alist-entry	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	741	registered through Phase-1 stub list
other	needs-classification	set-auto-mode--find-matching-alist-entry	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	379	matched in stubs::call
other	needs-classification	set-buffer-multibyte	stub-module	argument-derived	crates/elisp/src/primitives/core/stubs.rs	184	matched in stubs::call
other	needs-classification	set-file-acl	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	710	registered through Phase-1 stub list
other	needs-classification	set-file-acl	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	273	matched in stubs::call
other	needs-classification	set-file-modes	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	52	matched in stubs::call
other	needs-classification	set-process-plist	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	363	matched in stubs::call
other	needs-classification	set-visited-file-name	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	177	matched in stubs::call
other	needs-classification	setopt	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	742	registered through Phase-1 stub list
other	needs-classification	setopt	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	380	matched in stubs::call
other	needs-classification	split-char	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	721	registered through Phase-1 stub list
other	needs-classification	split-char	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	314	matched in stubs::call
other	needs-classification	substitute-in-file-name	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	711	registered through Phase-1 stub list
other	needs-classification	substitute-in-file-name	stub-module	argument-derived	crates/elisp/src/primitives/core/stubs.rs	274	matched in stubs::call
other	needs-classification	symbol-file	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	157	matched in stubs::call
other	needs-classification	symbol-plist	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	104	matched in stubs::call
other	needs-classification	tab-bar-mode	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	99	matched in stubs::call
other	needs-classification	text-char-description	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	123	matched in stubs::call
other	needs-classification	tool-bar-local-item	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	40	matched in stubs::call
other	needs-classification	tool-bar-local-item-from-menu	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	40	matched in stubs::call
other	needs-classification	tool-bar-mode	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	99	matched in stubs::call
other	needs-classification	total-line-spacing	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	715	registered through Phase-1 stub list
other	needs-classification	total-line-spacing	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	286	matched in stubs::call
other	needs-classification	translation-table-id	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	170	matched in stubs::call
other	needs-classification	treesit-language-available-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-library-abi-version	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-child	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-child-by-field-name	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-children	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-end	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-parent	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-start	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-string	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-node-type	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-parser-buffer	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-parser-create	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-parser-delete	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-parser-language	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-parser-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-query-capture	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	treesit-query-compile	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	236	matched in stubs::call
other	needs-classification	truncate-string-to-width	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	119	matched in stubs::call
other	needs-classification	undo-boundary	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	22	matched in stubs::call
other	needs-classification	unencodable-char-position	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	730	registered through Phase-1 stub list
other	needs-classification	unencodable-char-position	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	341	matched in stubs::call
other	needs-classification	unhandled-file-name-directory	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	712	registered through Phase-1 stub list
other	needs-classification	unhandled-file-name-directory	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	275	matched in stubs::call
other	needs-classification	unintern	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	103	matched in stubs::call
